CUSTOMERID,RECENCY,FREQUENCY,MONETARY,R_SCORE,F_SCORE,M_SCORE,SEGMENT
15562,352,1,134.55,1,1,1,At Risk
15940,342,1,35.8,1,1,1,At Risk
17356,342,1,132.65,1,1,1,At Risk
12929,342,1,97.45,1,1,1,At Risk
14496,342,2,528.61,1,3,3,At Risk
13494,342,1,266.7,1,2,2,At Risk
14549,342,1,270.13,1,2,2,At Risk
14850,342,1,229.6,1,1,2,At Risk
12373,342,1,313.6,1,2,2,At Risk
16078,341,1,79.2,1,2,1,At Risk
15319,341,1,126.2,1,2,1,At Risk
15709,341,1,90.81,1,1,1,At Risk
13166,341,1,372.9,1,1,2,At Risk
15456,341,3,227.55,1,4,2,At Risk
12866,341,1,546.02,1,1,3,At Risk
15257,341,1,306.95,1,2,2,At Risk
16162,340,1,37.4,1,1,1,At Risk
13626,340,1,195.55,1,1,1,At Risk
17701,340,1,417.95,1,1,3,At Risk
15691,340,1,136.8,1,1,1,At Risk
14886,340,1,364.8,1,1,2,At Risk
13462,340,1,141.3,1,1,1,At Risk
16634,339,2,217.9,1,2,2,At Risk
13062,338,1,286.5,1,1,2,At Risk
16424,338,1,102.96,1,2,1,At Risk
17123,337,1,263.7,1,2,2,At Risk
12922,337,1,256.1,1,1,2,At Risk
17941,336,1,304.56,1,2,2,At Risk
17053,336,1,498.48,1,1,3,At Risk
12534,336,1,937.52,1,2,4,At Risk
14420,335,1,254.48,1,1,2,At Risk
12436,335,1,443.01,1,2,3,At Risk
13045,335,1,266.34,1,2,2,At Risk
13697,333,1,83.8,1,2,1,At Risk
15423,333,1,7.5,1,2,1,At Risk
14485,333,1,157.1,1,1,1,At Risk
12491,333,1,362.1,1,1,2,At Risk
16830,333,1,253.13,1,1,2,At Risk
15018,333,3,461.47,1,3,3,At Risk
16971,333,1,339.23,1,1,2,At Risk
14345,333,1,104.3,1,1,1,At Risk
16789,332,1,80.8,1,1,1,At Risk
14804,332,1,332.87,1,1,2,At Risk
15101,332,2,224.53,1,3,2,At Risk
15904,332,1,133.44,1,2,1,At Risk
15447,331,1,134.57,1,1,1,At Risk
16315,331,1,226.37,1,2,2,At Risk
18085,331,2,610.75,1,3,3,At Risk
13284,331,1,182.95,1,1,1,At Risk
15510,331,1,250,1,1,2,At Risk
12672,330,1,215.7,1,1,2,At Risk
18106,330,1,415.1,1,1,2,At Risk
13385,330,1,466.77,1,1,3,At Risk
18212,327,1,198.43,1,2,1,At Risk
15316,327,1,165,1,1,1,At Risk
12872,327,2,545.87,1,3,3,At Risk
14238,327,1,126.05,1,2,1,At Risk
13859,327,1,173.36,1,2,1,At Risk
13898,326,1,132.05,1,1,1,At Risk
18233,326,1,440,1,1,3,At Risk
12346,326,2,81567.2,1,3,5,At Risk
15395,326,1,107.45,1,2,1,At Risk
12665,325,1,63,1,1,1,At Risk
14090,325,1,76.32,1,2,1,At Risk
15262,324,1,168.75,1,1,1,At Risk
15422,324,2,87.5,1,3,1,At Risk
12402,324,1,225.6,1,1,2,At Risk
13008,324,1,205.35,1,2,1,At Risk
17862,324,1,330.9,1,2,2,At Risk
15174,323,1,110.55,1,2,1,At Risk
17890,323,2,480.64,1,3,3,At Risk
17094,323,1,244.2,1,1,2,At Risk
16387,323,1,94.36,1,2,1,At Risk
15167,321,1,150.3,1,1,1,At Risk
14068,321,1,265.85,1,2,2,At Risk
17714,321,1,153,1,1,1,At Risk
15052,320,1,192.35,1,1,1,At Risk
14368,320,1,155,1,1,1,At Risk
13551,320,1,91.8,1,1,1,At Risk
14130,320,1,420.04,1,1,3,At Risk
15820,320,1,205.08,1,1,1,At Risk
14439,320,1,2661.24,1,2,5,At Risk
14782,320,1,200.1,1,1,1,At Risk
16757,319,1,83.55,1,1,1,At Risk
13002,319,1,120.95,1,2,1,At Risk
13703,319,1,99.5,1,1,1,At Risk
13615,319,1,394.29,1,1,2,At Risk
15213,319,2,250.35,1,2,2,At Risk
16222,319,1,746.26,1,2,3,At Risk
15222,319,1,513,1,2,3,At Risk
14248,319,1,282.3,1,2,2,At Risk
17118,318,1,111.9,1,1,1,At Risk
12591,318,1,378.45,1,2,2,At Risk
16124,318,1,249,1,2,2,At Risk
12764,317,1,1670.48,1,1,4,At Risk
13506,317,2,385.2,1,3,2,At Risk
13328,317,1,1298.4,1,2,4,At Risk
12377,316,2,1428.2,1,2,4,At Risk
12574,316,1,218.45,1,1,2,At Risk
13161,314,1,112.75,1,2,1,At Risk
15415,314,1,380.26,1,1,2,At Risk
17062,314,4,449.3,1,4,3,At Risk
17431,314,1,272.35,1,1,2,At Risk
17619,313,1,190.8,1,1,1,At Risk
17580,313,3,196.87,1,3,1,At Risk
16403,313,1,167.1,1,2,1,At Risk
17239,313,1,375.9,1,2,2,At Risk
15448,313,1,460.64,1,1,3,At Risk
15881,313,4,420.15,1,4,3,At Risk
13600,313,1,125.9,1,2,1,At Risk
17446,311,1,15.3,1,1,1,At Risk
15226,311,1,147.45,1,1,1,At Risk
14457,311,1,108.6,1,1,1,At Risk
18250,311,1,285.55,1,2,2,At Risk
17223,311,2,401.3,1,3,2,At Risk
17912,311,5,264.35,1,4,2,At Risk
14411,311,1,1063,1,2,4,At Risk
12559,311,2,513.35,1,3,3,At Risk
12350,311,1,295.3,1,1,2,At Risk
15733,310,1,162.3,1,1,1,At Risk
16792,310,2,96.4,1,3,1,At Risk
13497,310,2,307.25,1,3,2,At Risk
12873,310,1,374,1,2,2,At Risk
17923,310,1,207.5,1,2,2,At Risk
15643,310,3,636.4,1,4,3,At Risk
12834,310,1,298.78,1,1,2,At Risk
14453,307,1,107.85,1,2,1,At Risk
16529,307,1,453.85,1,1,3,At Risk
17531,307,1,275.7,1,1,2,At Risk
14076,305,1,83.93,1,2,1,At Risk
17887,305,1,111.35,1,1,1,At Risk
12378,305,1,3404.12,1,1,5,At Risk
13850,305,1,1403.24,1,1,4,At Risk
15342,305,1,346.45,1,1,2,At Risk
13075,305,1,919.61,1,1,4,At Risk
14133,305,2,474,1,2,3,At Risk
12644,305,1,378.59,1,1,2,At Risk
17553,305,1,1487.6,1,1,4,At Risk
14436,304,1,47.9,1,1,1,At Risk
18087,304,1,852.8,1,1,4,At Risk
14171,304,1,326.58,1,1,2,At Risk
18027,304,1,93.45,1,1,1,At Risk
15579,303,2,323.39,1,3,2,At Risk
16591,303,1,210.1,1,1,2,At Risk
15774,303,1,265.7,1,1,2,At Risk
17947,302,1,127.96,1,1,1,At Risk
18105,302,1,110.08,1,1,1,At Risk
13271,302,1,119.93,1,2,1,At Risk
14974,302,1,89.94,1,1,1,At Risk
18164,302,1,368.15,1,1,2,At Risk
17999,302,2,329.13,1,3,2,At Risk
15830,302,1,444.8,1,2,3,At Risk
14528,302,1,300.89,1,1,2,At Risk
15576,302,1,843.37,1,2,4,At Risk
16367,302,2,681.74,1,2,3,At Risk
18104,302,1,591.08,1,1,3,At Risk
15275,302,1,475.72,1,1,3,At Risk
16884,302,2,331.11,1,2,2,At Risk
17942,301,1,75.6,1,1,1,At Risk
14865,301,1,15,1,1,1,At Risk
13560,301,1,169.05,1,2,1,At Risk
12587,301,1,144,1,1,1,At Risk
18174,301,1,104,1,2,1,At Risk
17495,301,2,457,1,3,3,At Risk
14594,301,2,303.35,1,2,2,At Risk
13017,301,1,204,1,2,1,At Risk
13868,301,2,3058.24,1,3,5,At Risk
15539,301,1,413.02,1,1,2,At Risk
12970,301,4,328,1,4,2,At Risk
16084,300,1,406.73,1,2,2,At Risk
16897,300,2,289.78,1,3,2,At Risk
17829,299,1,781.24,1,2,3,At Risk
15236,299,1,252.65,1,1,2,At Risk
14760,298,1,79,1,2,1,At Risk
16738,298,1,3.75,1,1,1,At Risk
14176,298,4,576.9,1,4,3,At Risk
13893,298,1,780.3,1,1,3,At Risk
14935,298,1,1520.16,1,2,4,At Risk
16148,297,1,76.32,1,1,1,At Risk
15670,297,1,142.45,1,1,1,At Risk
16494,297,1,580.07,1,2,3,At Risk
16509,297,1,363.7,1,1,2,At Risk
14386,297,1,132.2,1,1,1,At Risk
18138,296,1,152.65,1,1,1,At Risk
13151,296,1,1212.82,1,2,4,At Risk
14371,296,1,100.5,1,1,1,At Risk
16765,295,1,34,1,1,1,At Risk
13904,295,2,210.72,1,2,2,At Risk
12852,295,1,298.35,1,1,2,At Risk
13932,295,1,307.4,1,1,2,At Risk
12988,293,1,498.17,1,2,3,At Risk
16073,292,2,124.95,1,3,1,At Risk
12707,292,1,537.3,1,1,3,At Risk
12365,292,2,636.34,1,2,3,At Risk
13044,292,1,370.75,1,1,2,At Risk
16349,291,1,53.08,1,2,1,At Risk
16913,291,1,112.6,1,2,1,At Risk
15303,291,1,533.22,1,1,3,At Risk
16546,291,3,785.15,1,3,3,At Risk
18114,291,1,217.5,1,2,2,At Risk
17171,290,1,148.15,1,1,1,At Risk
17499,290,1,368.9,1,1,2,At Risk
18068,290,1,101.7,1,1,1,At Risk
15397,290,1,94,1,2,1,At Risk
12565,289,1,140.88,1,2,1,At Risk
17117,289,1,92.8,1,2,1,At Risk
15543,289,1,102.2,1,1,1,At Risk
15847,289,2,281.19,1,3,2,At Risk
12945,289,1,462.95,1,2,3,At Risk
18056,289,1,302.45,1,2,2,At Risk
13501,289,1,1291.5,1,1,4,At Risk
17472,289,3,574.1,1,3,3,At Risk
16072,289,1,577.6,1,1,3,At Risk
13751,289,1,285.75,1,1,2,At Risk
12361,288,1,189.9,1,2,1,At Risk
13753,288,1,627.26,1,1,3,At Risk
13973,288,1,254.2,1,2,2,At Risk
13345,288,1,389.5,1,2,2,At Risk
13684,286,1,64.28,1,2,1,At Risk
15951,286,2,667.26,1,3,3,At Risk
16598,286,1,145.05,1,1,1,At Risk
14046,285,1,7.5,1,2,1,At Risk
17165,285,1,148.6,1,1,1,At Risk
12509,285,1,151,1,2,1,At Risk
16667,285,2,538.35,1,3,3,At Risk
14036,285,1,570.73,1,1,3,At Risk
13292,285,2,518.7,1,3,3,At Risk
16339,285,1,94.05,1,1,1,At Risk
13581,283,1,118,1,1,1,At Risk
16030,283,1,229.35,1,2,2,At Risk
14497,283,1,438.05,1,2,3,At Risk
13800,283,1,481.7,1,1,3,At Risk
16997,283,3,702,1,3,3,At Risk
17995,282,1,23.6,1,1,1,At Risk
17789,282,1,225.9,1,1,2,At Risk
16159,282,1,307.4,1,1,2,At Risk
12817,282,1,166.04,1,2,1,At Risk
14483,282,1,126.6,1,2,1,At Risk
15087,282,1,193.66,1,1,1,At Risk
14023,281,2,510.03,1,2,3,At Risk
13781,281,1,127.84,1,1,1,At Risk
17501,280,2,252,1,3,2,At Risk
16055,280,1,134.8,1,1,1,At Risk
15405,279,1,323.16,1,1,2,At Risk
16230,279,2,409.67,1,3,2,At Risk
16967,279,1,222.6,1,1,2,At Risk
16117,279,1,213.48,1,1,2,At Risk
15007,278,1,156.91,1,1,1,At Risk
13833,278,1,382.9,1,2,2,At Risk
17899,278,1,102.21,1,1,1,At Risk
17939,278,1,95.81,1,1,1,At Risk
15374,277,1,76.2,1,1,1,At Risk
16835,277,2,180.85,1,2,1,At Risk
12917,277,1,594,1,1,3,At Risk
14972,277,1,107.74,1,2,1,At Risk
12750,277,1,244.38,1,2,2,At Risk
17514,277,1,169.61,1,1,1,At Risk
15091,275,1,394.01,1,1,2,At Risk
16183,275,1,338.71,1,2,2,At Risk
16441,275,2,371,1,3,2,At Risk
14488,275,1,930.58,1,1,4,At Risk
15930,275,1,426.63,1,1,3,At Risk
14644,275,2,797.64,1,2,3,At Risk
16747,275,2,672.8,1,3,3,At Risk
17321,275,2,534.71,1,2,3,At Risk
14333,275,1,415.2,1,2,2,At Risk
13635,275,1,941.39,1,2,4,At Risk
17078,274,1,183.6,1,1,1,At Risk
16914,274,1,176.18,1,1,1,At Risk
14098,274,1,118.73,1,2,1,At Risk
16337,274,1,120.25,1,1,1,At Risk
13721,274,1,497.5,1,2,3,At Risk
15551,274,1,399.46,1,1,2,At Risk
17221,274,2,276.46,1,2,2,At Risk
17403,274,1,247.96,1,2,2,At Risk
14815,274,2,543.9,1,3,3,At Risk
12544,274,1,372.7,1,1,2,At Risk
13708,272,1,195.89,1,1,1,At Risk
16693,272,2,431.71,1,3,3,At Risk
15918,272,2,313.53,1,3,2,At Risk
15388,271,1,109.74,1,1,1,At Risk
14962,271,1,126.7,1,2,1,At Risk
13716,270,1,82.25,1,1,1,At Risk
13121,270,1,182.13,1,2,1,At Risk
14193,270,2,812.59,1,2,4,At Risk
17542,270,1,133.7,1,2,1,At Risk
15047,270,1,309.3,1,2,2,At Risk
16392,270,1,141.57,1,1,1,At Risk
13299,269,1,142.5,1,2,1,At Risk
13358,269,1,367.77,1,1,2,At Risk
14636,269,2,609.85,1,2,3,At Risk
16152,269,1,1829.04,1,2,5,At Risk
13261,269,2,944.1,1,3,4,At Risk
16297,269,1,244.8,1,2,2,At Risk
14840,268,1,62.85,1,1,1,At Risk
13185,268,1,71.4,1,1,1,At Risk
13216,268,1,195.5,1,1,1,At Risk
12845,268,4,352.04,1,4,2,At Risk
16976,268,1,251.52,1,1,2,At Risk
12514,268,1,915.68,1,2,4,At Risk
16216,268,1,885.05,1,1,4,At Risk
13707,268,2,738.25,1,3,3,At Risk
15019,267,1,222.64,1,1,2,At Risk
13072,267,1,177.15,1,2,1,At Risk
15483,267,4,161.26,1,4,1,At Risk
14066,267,1,152.55,1,1,1,At Risk
14155,267,1,118.75,1,1,1,At Risk
16256,267,1,449.55,1,1,3,At Risk
14059,267,1,122.4,1,2,1,At Risk
15695,267,2,396.06,1,3,2,At Risk
14633,267,1,323.3,1,2,2,At Risk
18270,267,2,271.75,1,3,2,At Risk
17060,267,1,203.04,1,1,1,At Risk
14041,267,1,119.3,1,2,1,At Risk
14693,265,1,168.65,1,1,1,At Risk
12902,265,1,128.6,1,1,1,At Risk
15445,265,1,93.1,1,1,1,At Risk
17230,265,7,3471,1,5,5,At Risk
16402,265,2,276.45,1,3,2,At Risk
15408,265,1,242.3,1,2,2,At Risk
15703,265,1,211.5,1,1,2,At Risk
16096,265,1,280.3,1,1,2,At Risk
17763,264,1,15,1,1,1,At Risk
16619,264,1,194.53,1,2,1,At Risk
13262,264,1,176.17,1,1,1,At Risk
13934,264,1,911.9,1,1,4,At Risk
17678,264,1,261.51,1,1,2,At Risk
16427,264,2,240.22,1,3,2,At Risk
14762,264,1,206.5,1,1,1,At Risk
18224,264,1,148.75,1,2,1,At Risk
14632,263,1,82.24,1,2,1,At Risk
15437,263,1,187.68,1,1,1,At Risk
12831,263,1,150.25,1,1,1,At Risk
16135,263,1,480.95,1,1,3,At Risk
15457,263,1,228.82,1,2,2,At Risk
14377,263,2,617.05,1,3,3,At Risk
16721,263,1,258.87,1,2,2,At Risk
13132,262,1,77.3,1,2,1,At Risk
17102,262,1,25.5,1,1,1,At Risk
16948,262,1,98.1,1,1,1,At Risk
18191,262,1,99,1,1,1,At Risk
12564,262,1,456.9,1,1,3,At Risk
17507,262,2,524.53,1,3,3,At Risk
14870,262,1,317.05,1,2,2,At Risk
16250,262,2,319.5,1,2,2,At Risk
13239,262,1,254.98,1,2,2,At Risk
12818,262,1,1341.8,1,1,4,At Risk
17733,262,2,590.07,1,2,3,At Risk
17486,262,1,373.83,1,2,2,At Risk
15178,261,1,32,1,1,1,At Risk
17698,261,1,154.95,1,2,1,At Risk
14348,261,1,382.45,1,2,2,At Risk
16769,261,1,361.54,1,2,2,At Risk
16063,261,1,237.2,1,1,2,At Risk
12811,261,3,481.25,1,4,3,At Risk
14256,261,2,892.46,1,3,4,At Risk
13341,261,1,734.45,1,2,3,At Risk
16022,261,1,570.7,1,2,3,At Risk
15651,261,3,551.92,1,3,3,At Risk
13512,261,1,209.81,1,1,2,At Risk
13452,260,2,590,1,2,3,At Risk
14536,260,1,168.4,1,2,1,At Risk
14476,258,1,158.15,1,1,1,At Risk
18071,258,2,453,1,3,3,At Risk
13357,258,1,519.96,1,1,3,At Risk
18010,257,1,167.7,1,2,1,At Risk
15083,257,1,88.2,1,1,1,At Risk
16692,257,2,1276,1,3,4,At Risk
13649,257,2,322.6,1,2,2,At Risk
15032,257,3,4959.1,1,4,5,At Risk
12792,257,1,374.8,1,2,2,At Risk
15589,256,3,455.13,1,3,3,At Risk
16980,256,2,869.53,1,3,4,At Risk
13439,256,1,201.27,1,1,1,At Risk
13803,256,1,266.87,1,2,2,At Risk
15424,255,2,279.3,1,2,2,At Risk
18108,255,1,260.8,1,1,2,At Risk
15832,255,1,766.01,1,2,3,At Risk
15353,255,2,714.75,1,3,3,At Risk
15528,255,1,217.93,1,1,2,At Risk
17438,254,1,388.45,1,2,2,At Risk
14479,254,2,306.05,1,3,2,At Risk
13060,254,1,297.33,1,1,2,At Risk
15894,254,2,221,1,3,2,At Risk
17212,254,1,177.3,1,2,1,At Risk
17781,254,2,186.34,1,3,1,At Risk
14890,254,1,115.45,1,1,1,At Risk
14957,254,1,55.65,1,2,1,At Risk
15973,253,2,395.42,1,2,2,At Risk
16282,253,1,100,1,1,1,At Risk
17226,252,1,185.05,1,1,1,At Risk
17334,252,1,190.2,1,1,1,At Risk
17517,252,1,117.3,1,2,1,At Risk
12410,252,2,683.25,1,2,3,At Risk
13963,252,4,559.7,1,4,3,At Risk
17291,252,1,550.8,1,1,3,At Risk
15090,252,1,320.6,1,2,2,At Risk
17325,251,1,96.8,1,2,1,At Risk
17535,251,1,103,1,1,1,At Risk
14670,251,2,307.75,1,3,2,At Risk
14779,251,3,382.45,1,4,2,At Risk
14570,251,2,205.21,1,2,1,At Risk
14995,251,2,220.71,1,2,2,At Risk
13382,251,1,222.99,1,1,2,At Risk
17508,251,1,319.05,1,2,2,At Risk
17956,250,1,12.75,1,2,1,At Risk
13059,250,1,183.4,1,2,1,At Risk
14747,250,1,328.2,1,1,2,At Risk
13294,250,2,790.34,1,3,3,At Risk
16142,250,1,380,1,1,2,At Risk
12755,250,3,3873.15,1,4,5,At Risk
18185,250,1,241.25,1,1,2,At Risk
16610,249,1,32.7,1,2,1,At Risk
17394,249,1,48.35,1,1,1,At Risk
17443,249,1,534.24,1,2,3,At Risk
17646,249,3,977.79,1,3,4,At Risk
18178,249,4,1412.35,1,4,4,At Risk
14245,249,2,1496.29,1,3,4,At Risk
12886,249,2,1196.04,1,3,4,At Risk
17464,247,1,245.35,1,2,2,At Risk
16344,247,1,101.1,1,1,1,At Risk
13218,246,1,49.8,1,1,1,At Risk
18099,246,1,129.97,1,1,1,At Risk
14778,246,2,712.7,1,3,3,At Risk
15254,246,1,224.52,1,2,2,At Risk
13402,246,2,468.95,1,2,3,At Risk
17267,246,2,305.6,1,2,2,At Risk
12851,245,1,107.8,1,1,1,At Risk
17722,245,4,1968.7,1,4,5,At Risk
14965,245,2,471.58,1,2,3,At Risk
16761,245,1,225,1,2,2,At Risk
12512,244,2,91.75,1,3,1,At Risk
17957,244,1,37.83,1,1,1,At Risk
15739,244,1,184.88,1,1,1,At Risk
13792,244,2,154.75,1,3,1,At Risk
15276,244,1,110.81,1,2,1,At Risk
16253,244,2,2698.66,1,2,5,At Risk
15255,244,1,746.69,1,1,3,At Risk
15339,244,2,476.61,1,3,3,At Risk
16374,244,2,431.47,1,3,3,At Risk
14184,244,1,452.89,1,1,3,At Risk
13351,244,1,373.94,1,2,2,At Risk
13801,244,1,257.2,1,2,2,At Risk
17274,243,1,74.57,1,1,1,At Risk
13938,243,1,29.8,1,1,1,At Risk
16887,243,1,147.98,1,1,1,At Risk
17233,243,1,130.12,1,1,1,At Risk
15597,243,1,268.53,1,1,2,At Risk
17084,243,2,2370.95,1,3,5,At Risk
15010,243,1,227.58,1,1,2,At Risk
12577,243,3,534.78,1,3,3,At Risk
14150,243,2,536.54,1,3,3,At Risk
12944,243,2,558.31,1,3,3,At Risk
18022,243,1,442.55,1,2,3,At Risk
16318,243,1,273.75,1,2,2,At Risk
16988,242,1,115.92,1,1,1,At Risk
13153,242,1,362.8,1,1,2,At Risk
17936,242,1,318.54,1,1,2,At Risk
16535,242,1,503.93,1,2,3,At Risk
13736,242,2,569.23,1,3,3,At Risk
12673,242,2,522.85,1,3,3,At Risk
15773,242,1,564,1,1,3,At Risk
16097,241,1,185.05,1,1,1,At Risk
13740,241,1,193.55,1,1,1,At Risk
13221,241,2,825.33,1,3,4,At Risk
15147,241,1,509.5,1,2,3,At Risk
13122,241,1,808.63,1,1,3,At Risk
17746,241,1,110.25,1,2,1,At Risk
15135,240,1,139.05,1,1,1,At Risk
17601,240,1,108.45,1,1,1,At Risk
15230,240,2,324.9,1,3,2,At Risk
17362,240,2,260,1,3,2,At Risk
14105,240,1,1056.41,1,2,4,At Risk
17142,240,1,579,1,2,3,At Risk
16882,240,3,582.12,1,3,3,At Risk
16957,240,2,375.6,1,2,2,At Risk
14154,240,2,1267.14,1,3,4,At Risk
14206,240,1,236.6,1,2,2,At Risk
13120,239,1,30.6,1,1,1,At Risk
17367,239,1,106.75,1,1,1,At Risk
12769,239,1,1123.2,1,2,4,At Risk
15246,239,2,472.75,1,3,3,At Risk
12582,239,2,409.72,1,3,2,At Risk
12639,239,1,468.1,1,1,3,At Risk
13474,237,1,190.32,1,2,1,At Risk
17582,237,1,161.78,1,2,1,At Risk
18213,237,1,169.88,1,1,1,At Risk
14532,237,4,875.94,1,4,4,At Risk
17990,237,3,519,1,4,3,At Risk
17697,237,1,338.95,1,1,2,At Risk
12878,237,2,823.09,1,3,4,At Risk
16193,237,1,275.09,1,2,2,At Risk
16617,236,1,141.45,1,1,1,At Risk
16217,236,2,304.25,1,3,2,At Risk
18116,236,7,1222.1,1,5,4,At Risk
18009,236,1,208.9,1,1,2,At Risk
16947,236,1,272.08,1,1,2,At Risk
13101,235,1,59.85,1,2,1,At Risk
15717,235,1,128.7,1,1,1,At Risk
17217,235,1,112.55,1,1,1,At Risk
12585,235,2,1684.36,1,3,4,At Risk
14242,235,2,270.35,1,3,2,At Risk
12733,235,1,353.35,1,1,2,At Risk
15225,235,1,362.6,1,1,2,At Risk
15517,234,1,198.54,1,2,1,At Risk
14148,234,1,157.2,1,1,1,At Risk
13485,234,1,407.44,1,1,2,At Risk
17120,234,1,297.5,1,1,2,At Risk
17946,234,2,115.5,1,3,1,At Risk
12506,233,1,70.95,1,1,1,At Risk
13482,233,1,177.68,1,1,1,At Risk
12622,233,1,159.7,1,1,1,At Risk
17718,233,1,118.95,1,1,1,At Risk
